PARTIE 	 第一
ils 	 他们
la 	 那
jadis 	 早已
que 	 如同
ennemis 	 斗
des 	 的
beaucoup 	 来
plus 	 越
autres 	 这
révolution 	 批判
. 	 。
Ye 	 叶哲泰
Zhetai 	 叶哲泰
depuis 	 从
culturelle 	 文革
Révolution 	 文革
première 	 开始
Seuls 	 一直
longtemps 	 一直
survécu 	 活
la 	 了
à 	 了
jour 	 现在
, 	 ，
, 	 ，
et 	 并且
de 	 一直
toujours 	 一直
était 	 处于
à 	 处于
première 	 第一
étape 	 阶段
: 	 ，
il 	 他
pas 	 不
refusait 	 认罪
reconnaître 	 认罪
crimes 	 认罪
mort 	 自杀
et 	 ，
pas 	 不
insensible 	 麻木
. 	 。
Lorsque 	 当
le 	 这
physique 	 物理学
professeur 	 教授
arriva 	 走
à 	 上
barre 	 批判台
, 	 ，
son 	 他
l’ 	 那
expression 	 神情
clairement 	 分明
disait 	 说
: 	 ：
Alourdissez 	 让
ma 	 我
croix 	 十字架
encore 	 更
! 	 ！
rouges 	 红卫兵
gardes 	 红卫兵
les 	 们
lui 	 他
porter 	 负担
le 	 的
fardeau 	 东西
effet 	 确实
était 	 很
écrasant 	 重
, 	 ，
Mais 	 但
pas 	 不
était 	 是
une 	 是
croix 	 十字架
. 	 。
Les 	 的
de 	 的
condamnées 	 批判
personnes 	 对象
coiffées 	 戴
des 	 的
haut 	 高帽子
chapeau 	 高帽子
devaient 	 都
être 	 是
bambou 	 竹条
tressé 	 扎
, 	 ，
mais 	 而
Il 	 他
le 	 的
sien 	 顶
était 	 是
en 	 用
un 	 一
soudé 	 粗
en 	 的
aussi 	 还有
portait 	 挂
sur 	 在
poitrine 	 胸前
pancarte 	 牌子
, 	 ，
pas 	 不
d’ 	 别人
en 	 的
bois 	 木板
, 	 ，
mais 	 而是
laboratoire 	 实验室
de 	 的
une 	 一个
four 	 烤箱
barrée 	 拆
fer 	 铁门
plaque 	 铁门
, 	 ，
laquelle 	 上面
en 	 用
rouge 	 黑色
diagonale 	 醒目
d’ 	 地
écrit 	 写
son 	 他
nom 	 名字
et 	 并
sur 	 沿
était 	 了
une 	 一个
noirs 	 红色
clinquants 	 的
grande 	 大叉
croix 	 大叉
. 	 。
escortaient 	 押送
Ye 	 叶哲泰
Zhetai 	 叶哲泰
Les 	 的
rouges 	 红卫兵
gardes 	 红卫兵
que 	 比别
d' 	 的
habitude 	 对象
deux 	 一
fois 	 倍
plus 	 倍
: 	 ，
étaient 	 有
six 	 六
, 	 ，
deux 	 两
garçons 	 男
quatre 	 四
filles 	 女
. 	 。
deux 	 两
garçons 	 男
marchaient 	 步伐
sûr 	 稳健
un 	 一
aguerris 	 成熟
de 	 的
jeunes 	 青年
bolcheviks 	 布尔什维克
apparence 	 形象
, 	 ，
leur 	 他们
deux 	 他们
Tous 	 都
étaient 	 是
physiques 	 物理系
licence 	 专业
quatrième 	 四
année 	 年级
, 	 ，
Ye 	 叶哲泰
Zhetai 	 叶哲泰
anciens 	 曾
de 	 的
étudiants 	 老师
. 	 ；
Les 	 那
quatre 	 四
filles 	 女孩子
jeunes 	 年轻
plus 	 得
beaucoup 	 多
, 	 ，
étaient 	 是
université 	 大学
affilié 	 附中
du 	 的
deuxième 	 初二
élèves 	 学生
. 	 ，
Ces 	 这些
vêtues 	 穿
d' 	 着
militaire 	 军装
uniforme 	 军装
serré 	 扎
à 	 着
petites 	 小
combattantes 	 战士
irradiaient 	 挟
l' 	 的
adolescence 	 青春
bouillonnante 	 绿色
énergie 	 火焰
à 	 着
. 	 。
ce 	 叶哲泰
L' 	 的
apparition 	 出现
provoqua 	 使
trouvait 	 下面
la 	 的
foule 	 人群
embrasement 	 兴奋
se 	 来
et 	 ，
quelques 	 刚才
tôt 	 刚才
rechignait 	 已
les 	 的
slogans 	 口号声
comme 	 像
passage 	 轮
marée 	 海潮
plus 	 重新
résonnèrent 	 高昂
de 	 来
, 	 ，
emportant 	 淹没
son 	 了
tout 	 一切
. 	 。
patiemment 	 耐心
déferlement 	 口号
attendu 	 平息
la 	 下去
Après 	 后
, 	 ，
estrade 	 台上
sur 	 台上
deux 	 两
garçons 	 男红
les 	 的
tournèrent 	 转向
vers 	 转向
accusé 	 批判
: 	 ：
— 	 “
Camarade 	 叶哲泰
Ye 	 叶哲泰
Zhetai 	 叶哲泰
, 	 ，
vous 	 你
expert 	 精通
en 	 各种
mécaniques 	 力学
sciences 	 力学
, 	 ，
devez 	 应该
compte 	 看到
que 	 看到
à 	 正在
obstiner 	 抗拒
laquelle 	 的
ce 	 这
unie 	 合力
force 	 合力
est 	 是
si 	 么
puissante 	 强大
, 	 ，
à 	 下去
vous 	 下去
conduira 	 是
mort 	 死路一条
! 	 ！
aujourd'hui 	 今天
reprendre 	 继续
